Hour,Origin,Destination,Train_Type,Number_of_Cars,Cars_Loaded,Cars_Empty,Containers_Empty,Containers_Loaded,Tons_Per_Train,HP_Required
347.2,Allouez,Hibbing,Unit,87,43,44,0,0,7118.71798,14237.43596
347.2,Hibbing,Allouez,Unit,88,45,43,0,0,7350.754235,14701.50847
358.4,Allouez,Hibbing,Unit,87,43,44,0,0,7118.71798,14237.43596
358.4,Hibbing,Allouez,Unit,88,45,43,0,0,7350.754235,14701.50847
369.6,Allouez,Hibbing,Unit,88,43,45,0,0,7151.236125,14302.47225
369.6,Hibbing,Allouez,Unit,88,44,44,0,0,7250.99518,14501.99036
380.8,Allouez,Hibbing,Unit,87,43,44,0,0,7118.71798,14237.43596
380.8,Hibbing,Allouez,Unit,88,44,44,0,0,7250.99518,14501.99036
392,Allouez,Hibbing,Unit,88,44,44,0,0,7250.99518,14501.99036
392,Hibbing,Allouez,Unit,88,45,43,0,0,7350.754235,14701.50847
403.2,Allouez,Hibbing,Unit,88,43,45,0,0,7151.236125,14302.47225
403.2,Hibbing,Allouez,Unit,88,45,43,0,0,7350.754235,14701.50847
414.4,Allouez,Hibbing,Unit,87,43,44,0,0,7118.71798,14237.43596
414.4,Hibbing,Allouez,Unit,88,44,44,0,0,7250.99518,14501.99036
425.6,Allouez,Hibbing,Unit,88,44,44,0,0,7250.99518,14501.99036
425.6,Hibbing,Allouez,Unit,87,44,43,0,0,7218.477035,14436.95407
436.8,Allouez,Hibbing,Unit,87,43,44,0,0,7118.71798,14237.43596
436.8,Hibbing,Allouez,Unit,87,44,43,0,0,7218.477035,14436.95407
448,Allouez,Hibbing,Unit,88,43,45,0,0,7151.236125,14302.47225
448,Hibbing,Allouez,Unit,87,44,43,0,0,7218.477035,14436.95407
459.2,Allouez,Hibbing,Unit,87,43,44,0,0,7118.71798,14237.43596
459.2,Hibbing,Allouez,Unit,87,44,43,0,0,7218.477035,14436.95407
470.4,Allouez,Hibbing,Unit,87,43,44,0,0,7118.71798,14237.43596
470.4,Hibbing,Allouez,Unit,88,45,43,0,0,7350.754235,14701.50847
481.6,Allouez,Hibbing,Unit,88,43,45,0,0,7151.236125,14302.47225
481.6,Hibbing,Allouez,Unit,87,44,43,0,0,7218.477035,14436.95407
492.8,Allouez,Hibbing,Unit,88,43,45,0,0,7151.236125,14302.47225
492.8,Hibbing,Allouez,Unit,87,44,43,0,0,7218.477035,14436.95407
504,Allouez,Hibbing,Unit,88,44,44,0,0,7250.99518,14501.99036
504,Hibbing,Allouez,Unit,87,44,43,0,0,7218.477035,14436.95407
